City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Goure,NE,13.9835,10.2704,102.0,5,67,1.01,broken clouds
313,Ust-Nera,RU,64.5667,143.2,-23.6,99,46,3.89,scattered clouds
314,Hobyo,SO,5.3505,48.5268,80.96,75,67,14.7,broken clouds
315,Paine,CL,-33.8167,-70.75,73.4,46,0,6.91,clear sky
316,Moose Factory,CA,51.2585,-80.6094,14.0,85,90,11.5,light snow
317,Ouesso,CG,1.6136,16.0517,90.79,46,93,4.29,overcast clouds
318,Hamilton,US,39.1834,-84.5333,46.0,42,1,4.61,clear sky
319,Yuzhno-Kurilsk,RU,44.0306,145.8556,32.16,80,100,7.25,overcast clouds
320,Ailigandi,PA,9.2333,-78.0167,81.7,71,81,11.18,broken clouds
321,Leningradskiy,RU,69.3833,178.4167,14.52,77,63,9.8,broken clouds
322,Okhotsk,RU,59.3833,143.3,-3.46,68,0,11.63,clear sky
323,Namatanai,PG,-3.6667,152.4333,78.91,77,31,4.9,scattered clouds
324,Norrkoping,SE,58.5942,16.1826,41.0,70,90,5.75,overcast clouds
325,Broome,US,42.2506,-75.833,32.0,46,1,11.5,clear sky
326,Juegang,CN,32.3174,121.1855,48.0,83,0,4.38,clear sky
327,Dudinka,RU,69.4058,86.1778,-19.39,94,100,14.58,overcast clouds
328,Atambua,ID,-9.1061,124.8925,73.96,89,95,1.57,overcast clouds
329,Luwuk,ID,-0.9516,122.7875,77.65,87,93,2.82,overcast clouds
330,Paamiut,GL,61.994,-49.6678,19.09,56,100,12.44,overcast clouds
331,Akyab,MM,20.15,92.9,77.85,68,0,10.98,clear sky
332,Price,US,39.5994,-110.8107,28.4,93,90,7.07,overcast clouds
333,Salinas,US,36.6777,-121.6555,51.8,71,90,10.36,overcast clouds
334,Aksu,CN,41.1231,80.2644,55.09,28,100,3.56,overcast clouds
335,Herat,AF,34.5,62.0,41.0,81,75,9.22,broken clouds
336,Ornes,NO,66.8689,13.7078,39.2,60,75,10.36,broken clouds
337,Hope,US,33.6671,-93.5916,72.0,63,100,4.0,overcast clouds
338,Atar,MR,20.5169,-13.0499,89.69,5,1,12.91,clear sky
339,Mvuma,ZW,-19.2792,30.5283,67.93,73,29,8.25,scattered clouds
340,Phan Thiet,VN,10.9333,108.1,73.85,81,5,9.57,clear sky
341,Freeport,US,40.6576,-73.5832,42.8,26,1,8.05,clear sky
342,Plouzane,FR,48.3833,-4.6167,46.4,76,75,19.57,broken clouds
343,Donna,US,26.1703,-98.0519,80.6,69,90,13.8,overcast clouds
344,Raudeberg,NO,61.9875,5.1352,42.01,76,86,10.87,overcast clouds
345,Jardim,BR,-21.4803,-56.1381,93.42,42,55,4.0,broken clouds
346,Kashary,RU,49.04,41.0056,28.63,84,99,11.63,snow
347,Salalah,OM,17.0151,54.0924,78.8,65,0,2.3,clear sky
348,Falkenberg,SE,56.9055,12.4912,41.0,87,90,12.57,light rain
349,Piastow,PL,52.1843,20.8395,50.0,53,75,11.5,broken clouds
