City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Asau,46.4333,26.4,43.0,62,100,3.47,RO,2021-03-13 10:03:16
269,Lavrentiya,65.5833,-171.0,15.76,93,100,19.26,RU,2021-03-13 10:03:17
270,Shingu,33.7333,135.9833,51.8,62,40,27.63,JP,2021-03-13 10:03:17
271,Bria,6.5423,21.9863,100.62,27,100,5.08,CF,2021-03-13 10:03:17
272,Goma,-1.6792,29.2228,80.02,46,100,3.53,CD,2021-03-13 10:03:17
273,Tahlequah,35.9154,-94.97,57.99,94,90,4.61,US,2021-03-13 10:03:17
274,Monticello,45.3055,-93.7941,34.0,86,1,7.87,US,2021-03-13 10:03:17
275,Madang,-5.2246,145.7966,79.54,82,99,3.09,PG,2021-03-13 10:03:17
276,Bosobolo,4.1833,19.9,92.44,44,86,4.97,CD,2021-03-13 10:03:17
277,Seremban,2.7297,101.9381,78.8,83,20,3.44,MY,2021-03-13 10:00:53
278,Mizan Teferi,6.9833,35.5833,86.76,30,82,1.9,ET,2021-03-13 10:03:17
279,Man,7.4125,-7.5538,87.44,57,79,1.92,CI,2021-03-13 10:03:18
280,Ranong,9.9658,98.6348,95.0,46,20,6.91,TH,2021-03-13 10:03:18
281,Sergeyevka,53.88,67.4158,9.73,91,96,13.96,KZ,2021-03-13 10:03:18
282,Laje,-10.1833,-40.9667,68.45,83,76,5.17,BR,2021-03-13 10:03:18
283,Havre-Saint-Pierre,50.2334,-63.5986,23.0,63,90,16.11,CA,2021-03-13 10:03:19
284,Alegrete,-29.7831,-55.7919,65.16,60,0,3.36,BR,2021-03-13 10:03:19
285,Lethbridge,49.7,-112.8186,32.0,68,1,11.5,CA,2021-03-13 10:00:10
286,San Vicente De Canete,-13.0751,-76.3835,70.41,91,86,2.39,PE,2021-03-13 10:03:19
287,Severnyy,50.677,36.5532,24.8,86,90,13.42,RU,2021-03-13 10:03:19
288,Maceio,-9.6658,-35.7353,77.0,88,40,3.44,BR,2021-03-13 10:03:19
289,Marsh Harbour,26.5412,-77.0636,70.84,62,92,11.97,BS,2021-03-13 10:03:19
290,College,64.8569,-147.8028,-18.0,68,1,4.0,US,2021-03-13 10:03:19
291,Mesetas,3.3846,-74.0442,70.79,71,98,2.93,CO,2021-03-13 10:03:19
292,Tongzi,28.7829,105.0877,80.08,30,0,7.38,CN,2021-03-13 10:03:20
293,Nouadhibou,20.931,-17.0347,66.2,34,0,12.66,MR,2021-03-13 10:03:20
